date,habit_name,value,calories_burned,notes
2025-02-20,Morning Walk,8400,420,
2025-02-20,Water Glasses,8,0,
2025-02-20,Meditation,1,0,
2025-02-21,Morning Walk,8700,435,
2025-02-21,Water Glasses,9,0,
2025-02-21,Meditation,1,0,
2025-02-22,Morning Walk,8100,405,
2025-02-22,Water Glasses,8,0,
2025-02-23,Morning Walk,8500,425,
2025-02-23,Water Glasses,8,0,
2025-02-23,Meditation,1,0,
2025-02-24,Morning Walk,3400,170,
2025-02-24,Water Glasses,5,0,
2025-02-25,Morning Walk,8800,440,
2025-02-25,Water Glasses,9,0,
2025-02-25,Meditation,1,0,
2025-02-25,Evening Workout,50,300,
2025-02-26,Morning Walk,9200,460,
2025-02-26,Water Glasses,9,0,
2025-02-27,Morning Walk,8300,415,
2025-02-27,Water Glasses,8,0,
2025-02-27,Meditation,1,0,
2025-02-28,Morning Walk,8600,430,
2025-02-28,Water Glasses,8,0,
